text,rating,label3,label5,lang
Great self-tanning lotion — This is the first self-tanning lotion I've actually liked. No orange color. Yay!,5.0,2,4,en
"Cheaper to buy 5 packets than 1 tube? — Love the product, use it at least once a week. But how are 5 packets cheaper than 1 tube? (AND you get more product!)",2.0,0,1,en
Terrific!!! — Terrific wig for a Halloween costume. Very comfortable. Hairnet provided worked perfectly. Many compliments,5.0,2,4,en
Great quality! — These were a hit at my daughter's birthday party! The girls got &#34;mermaid makeovers&#34; and everyone got to choose which hair clip color they wanted. The clips were very simple to attach and stayed in place as the girls played together. Great quality!,5.0,2,4,en
Absolutely amazing! I ordered it two days ago and it ... — Absolutely amazing! I ordered it two days ago and it arrived today along with a personalized thank you note<br />Will order again and again 😄😍,5.0,2,4,en
Like — So far so good. I’m hoping this is the answer to my nails not breaking.,5.0,2,4,en
"Works, but died within a year. — Bought this last May. I really liked the razor head, and shaver. The callus attachment wasn't very strong, but worked ok. The epilator worked great the first few times and then it wimped out and got about about 1 out of 5 hairs.<br />The last few months it has been weaker and weaker. Doesn't like to hold a charge. Tried to use it this week and it would stay going long enough to use it. Tried to recharge it and make sure it wasn't just dead. Now the light turns on, but nothing else happens. I really did love this thing, but I'm pretty disappointed it did t last even a year.",2.0,0,1,en
Hair damage! — These get stuck in my hair and I have to break it it get them out. I threw them in the trash.,1.0,0,0,en
"Cute and functional! — Nice solid comb, with the right amount of flexibility. so far no heat damage! Yay!",5.0,2,4,en
Balls — All the balls come off the magnet super easy,3.0,1,2,en
"Satisfactorily Squishy — I love the feel of these bottles. They are easy to fill and squeeze, and the size is perfect. Big enough to get me through at least a couple weeks between refills, but not clonky. It works better for lotions than hand sanitizer, but it's do-able for either. You'll just have to refill the sanitizer more often because the thinner liquid leaks out or evaporates or something.",4.0,2,3,en
Buy!!!! — Loved My Hair No Tangles At All What So Ever!,5.0,2,4,en
"Perfect for chapped cheeks — Perfect item for dry chapped cheeks, elbows and knees. I use on my baby's dry cheeks and it works great on diaper rash too! Not oily & absorbs quickly.",5.0,2,4,en
Glitters spill everywhere when received — Glitter spill everywhere when I receive it .,1.0,0,0,en
Easy to use — Nice consistency for brows and shadow. Color is beautiful.,5.0,2,4,en
Good — One of my bows fell off but these are okay,2.0,0,1,en
Five Stars — This product lets me style my hair perfectly,5.0,2,4,en
"Worth the buy because they LAST forever! — Still have these nicely made, durable. I've had for years.",5.0,2,4,en
good stuff — great product 👌 last some times before you have to redo your nails 💅,5.0,2,4,en
Five Stars — have always used this brand.,5.0,2,4,en
"Goes on very smoothly, only need 2 drops for ... — Goes on very smoothly, only need 2 drops for both eyes. I'm anxious to see how it works on the puffiness!",5.0,2,4,en
Better than what I though it would be — Better than what I though it would be. I stuck it to the bathtub and its still there ready and waiting whenever I need it. Nice support so I can read and soak.,5.0,2,4,en
"Not sure if the product is new or used — This product was unboxes (my mistake for not seen announcement), but it does not have any seal in it. Hard to know if is was new or used.",5.0,2,4,en
Four Stars — This gives my hair lots of volume and shine,4.0,2,3,en
"Always go for kyrssma — This is the absolute best brand for the price, ai own many wigs by this maker.",5.0,2,4,en
It's a no for me — Much better options out there. Shop around,1.0,0,0,en
"Good brush — In an effort to get away from plastic, I bought this brush when my favorite plastic one 'died.' I really like it - it's good for my very thick, long-ish hair. However, one 'bristle' or 'pin' has already fallen out, or gotten pushed into the pad part. (It's just gone.) Also, the flat handle isn't as nice to grip as something with some rounding to it on all sides. Still, it's a good brush, and I'm glad I bought it.",4.0,2,3,en
Fully removed eye makeup — I have been looking for a makeup remover to tackle my mascara. I have been using this for a few weeks now and it fully removed all my eye makeup. It has also been great for when I need to correct small mistakes with my eye liner or mascara. The smaller bottles are great for travel.,5.0,2,4,en
"Great barrettes! — I'be been looking for these barrettes everywhere, with no luck. Was very happy to find them, and at a very reasonable price. I highly reccomend.",5.0,2,4,en
"Affordable way to protect an investment! — Was hesitant to purchase due to others having issues putting the sleeve on the cylindrical portion of the dryer. It took me probably 10 minutes to put it on without ripping it. I folded it on itself multiple times and boom, it fit perfectly! Now I don’t worry about scratching up my $400 blow dryer on the bathroom counter. 100% would buy again! Just be patient when figuring out how to put the sleeve on and don’t over stretch it and it won’t break :)",5.0,2,4,en
I wanted it to smell like Hawaiian Tropic suntan lotion but it did NOT — Not that impressed with the scent I am sorry to say. Very disappointing. I wanted it to smell like Hawaiian Tropic suntan lotion but it did NOT.,3.0,1,2,en
The best Sunscreen for sensitive skin! — This product is great for highly sensitive skin and provides great sun protection without a greasy feeling.,5.0,2,4,en
Will Continue To Buy — I live in the arid Montana Rockies and this shampoo/conditioner set has been a godsend! It keeps my hair moisturized and shiny all day and smells divine! I will continue to purchased this set.,5.0,2,4,en
"fun to play with — its really cool playing with all the different effects, although i wish there was a name or different distinction to tell what the effect is of each powder. you really just have to play with the product to see the color & effect it gives.<br />but each came in an individual container & extra sponge applicators.",4.0,2,3,en
AMAZING — Amazing product to use if you have a lash lift !!,5.0,2,4,en
"Great Moisture cream — Fantastic brand, I lived in Colorado and it’s dry as bone. Blondies age quicker than water evaporates. I first found this product in TJMAXX. Then, I couldn’t find it at all. Well, I found it here. You won’t be sorry.",5.0,2,4,en
heel balm — Works quickly to help heal cracked skin. It melts on contact with your skin. Apply & put socks on to protect everything else.,5.0,2,4,en
It stopped working — Got this item for my best friend for christmas and it worked for week. Her products are no longer cold and she spent a lot of money on her face products for it to go to waste!,1.0,0,0,en
"It's an amazing product. I highly recommend it — I have used Emprizone gel a very long time (12 years) and every day I put it on my skin: on my face, neck and arms. My brown spots are less obvious when I apply it. Burns, scrapes, are soothed immediately. It's an amazing product.<br />I highly recommend it.",5.0,2,4,en
Great tattoos! — These went on easy and stayed on. They were exactly what we were looking for!,5.0,2,4,en
Ummm... — The curl pattern is cute but wig combs are way too far back & there is no comb in the back. And the wig is tight & slides while wearing I keep having to adjust & check for security when wearing. If I could return it I'm I'd definitely would!!!,2.0,0,1,en
"not great — I bought this set for the top 3 clips...using 1 to hold up the front pieces of my hair (like a half up/down hair style). I have very thin hair, and sadly they do not hold it up. The opening side of the clip doesn't have enough tension and my hair slides out...not a great look. I doubt having thick hair would be better, it would prpbably be worse.",2.0,0,1,en
"Waste of money — Just got around to using this today so missed the return window. 😡. What a waste of money! No matter how much shaking, it doesn't thicken. It's a very pale pink and very watery and does not dry fast. Each nail would need 12 coats just to look the color of the bottle color. Total waste of time and money.",1.0,0,0,en
"They're fine — It isn't life changing, and it isn't hard enough to really exfoliate if that's what you're looking for. I put soap in the hole and it takes a bit to sud up but it works.",4.0,2,3,en
Homemade goods — Perfect for my homemade deodorant,5.0,2,4,en
Very natural looking and light weight! — BUY THIS WIG!!!,5.0,2,4,en
Five Stars — Amazing quality for the price.,5.0,2,4,en
Great!!! — Finally something that fits 6 year old child face and adjustable!,5.0,2,4,en
"Perfect Little Caps — Love,<br />I use them as conditioning caps and when I color my hair at home. Also when I travel as shower caps. I once went to every beauty supply store looking for these caps. I was told that the manufacturer had them on back order. Thank God for Amazon!",5.0,2,4,en
"Just what I was looking for. — Just perfect. Great purchase, they are so cute. I have very long hair, and they fit perfectly.<br />Very good quality. I can also use when I style my hair with my curlers.<br />Recommend it!",5.0,2,4,en
easy to fluff — average quality，Good pattern and color match… Hairy after one wash…,3.0,1,2,en
"great product — easy to use, color us great, easy to apply. it was everything I expected fast delivery instructions for use very clear",5.0,2,4,en
"A little goes a long way — This is my most favorite conditioner out there. I have issues trying to find conditioners that don't weight my hair down or make it sticky or fluffy and dry. This is by far the best one I've found. I have very dry, thick, wavy hair. I know people are complaining about the alcohol that didn't used to be in this hair conditioner, but that doesn't effect my hair at all. Infact it improves mine. The reason why I like it so much is because it really smoothed and hydrates the heck out of my hair. I put it on for 10-15 minutes in my shower and then rinse it. It makes my hair so smoothe and silky feeling. Also, the scent us yummy smelling, I don't know why no one likes it. My husband especially loves it. 😉",5.0,2,4,en
Amazing hold — Amazing hold but not stiff,5.0,2,4,en
"Large, stiff, awkward to hold and overstuffed. — I know that loofahs take a while to break in, but I think this product has other issues. I'm a woman with smaller hands. This is just too oversized for me. It's difficult to hold and control. It's also overstuffed with a very convex surface, so only the center of the raised area actually touches my body. It doesn't mold itself to the surface of my skin, so I feel like I'm scrubbing in thin lines, and it doesn't really do the job in the dips and grooves a human body has because of that. It does dries quickly, even though I don't have anything to hang it off of. I'm pretty disappointed with this order and I can't recommend this product.",2.0,0,1,en
Don't waste your money. — This did not work and it caused irritation. I started using Castor oil and that seemed to start working after a couple of weeks. And you can get a huge bottle for the same money and use it for your hair as well.,1.0,0,0,en
Easy to work with — Easy to fluff out and does not tangle much.,5.0,2,4,en
My grandkids love these tattoos — Good and lasting no allergies to the skin,5.0,2,4,en
"I love using it! — I just love getting my hair wavy with this iron. Great quality, great price.",5.0,2,4,en
Perfect variety pack — I love the variety included and how soft the lashes are.<br />Beautiful set,5.0,2,4,en
") She takes showers (she's 4) and she has wavy hair that we do not wash every day so these are useful. She loves the cute colors — I actually got this for my daughter as a stocking stuffer last christmas :)<br />She takes showers (she's 4) and she has wavy hair that we do not wash every day so these are useful. She loves the cute colors.<br />A few of them did rip after about 5 uses, but some are still holding on. I think it's a great product for the price.",4.0,2,3,en
Peace Love — Amazing. My husband loves it as much as I do! The scent doesn’t fade away.,5.0,2,4,en
Easy to use and helpful — I have arthritis and this device helps me get the most paint from my paint tubes.,5.0,2,4,en
"It worked well for about two weeks. If water ... — It worked well for about two weeks. If water from the counter gets to the batteries, its stops working and you have to dry it out. I feel that there should be some sort of water resistance component there.",3.0,1,2,en
Love it! — Reallh like this brush. The price is right and it does a great job at massaging and deeply cleaning my face.,5.0,2,4,en
"Nice — I am not a big fan of fake eyelashes however, these are fun for special occasions. I have enjoyed using them and re-using them.",5.0,2,4,en
Better than I expected. — This is pretty nice. The clips are easy to work. It is much better than I expected.,4.0,2,3,en
"I really either can't get the hang of this or it's just not for me — I thought these would be so cool and make my sponges be more like a mushroom head applicator. Well...i've tried it with my beauty blender, my elf blending sponges, and a generic beauty blender to no avail. the angle is just not good. I feel like i whack myself in the face pretty regularly and i've not been able to use them, tbh. it's a shame because i thought it would be good. however, maybe i'm just not getting this. I end up hitting my face with the plastic or dropping the sponge. as always, your mileage may vary.",2.0,0,1,en
Sweet — It is really good and the smell is wonderful.,5.0,2,4,en
Not worth it. — Dried out after one use (yes it was closed and stored properly).,1.0,0,0,en
Do not purchase — Do not purchase! I’ve ordered 6 of these combs in total because all but 1 were broken.,1.0,0,0,en
"Very strong scent at first, but it disappears very quickly. — I really loved the idea of this Boiess Baby Cologne ""Les Enfants"" in White Blossom. Not because I think it is a good idea for a baby, because boy, is it not. I actually thought it would be perfect for myself since I don't like loud fragrances. The description of the scent profile really enticed me, as I love all of the notes. I was able to try both the Lavanda and the White Blossom scents.<br />Both of the ""Cologne"" sprays smell identical to me. I can't say that I can tell them apart at all. They both have a very strong earthy, herbal, slightly floral scent that is heavily ladened with alcohol upon spraying. It stays very strong for several minutes, but then starts to dry down.<br />Sadly, once it dries down, the scent pretty much dissipates. If I don't spray it heavily at first, which is too much for my asthma to handle, much less any baby, the scent just goes away completely. I must spray it on me again. If I spray it on a few times over an hour or so, I can smell the ever so slightest hint of it on my clothing later, if I put my nose right on it. That is a lot of spraying for very little payoff.<br />I know this is meant for kids mostly, but I would think the scent would and should last longer. Sure, my grandsons will like using it, maybe or",3.0,1,2,en
just what I needed — hubby dropped his old one and it snapped one of the tiny fingers off. it was part of a set that came with his clippers so he was afraid he would have to buy a whole set to replace the one. thankfully we found this and it was an exact copy of the one he had.,5.0,2,4,en
Just didn't work well for me. — To filmsey would not buy again,1.0,0,0,en
"Not bad for my 3c natural hair — I used to use Pantene Women of Color Conditioner (or whatever it's called) back when I was relaxed and in the beginning of my natural hair journey. I ended up switching to a different conditioner that was cheaper and it actually ended up being more effective, so I haven't used Pantene probably in 2 years.<br /><br />I read about the Truly Natural line and I was a little hesitant about trying it due to past experience with it not adding much moisture to my hair. I heard good things about it so I decided to give the co-wash a shot, hoping it'd be a cheaper alternative to the As I Am Coconut cowash.<br /><br />I soaked my hair in the shower, used a palm sized amount, focusing on my scalp first as I usually do, then started finger detangling the rest of my hair. I'll have to admit, the slip is pretty good! This stuff really melted my strands and made finger detangling a breeze - which is most important for me in a conditioner. I also like how thick the product is. When I slathered this on each section, my hair felt coated and moisturized, but not too thick that I had a hard time rinsing it out.<br /><br />Now when I rinsed it out, my hair still felt soft, but not as soft as I'd like. Also, the scent does smell good, but it's just a tiny bit overpowering, which doesn't surprise me since it's Pantene.",4.0,2,3,en
"Needs more oil! — I liked the product and love the smell of anything coconut, but would have liked it to be more moist - it needs more oil!",4.0,2,3,en
"AMAZING !! — This comb is amazing. I’ve always seen my grandmother use a wooden comb on her hair but I never understood why until I got this comb just to see what’s the difference between the wood and plastic. There’s a big difference. My hair is not as frizzy. And every time I comb my scalp, it just feels good and refreshing. Its thickness is great too. I love it.",5.0,2,4,en
"I had high hopes... — I am amending my review based on the customer service I received. The person who reached out to me took my issues seriously and said they would be passed on to production. Wow. How very attentive. They also have me many helpful tips and suggestions to improve the quality and usability of my hair. I will definitely buy from them again and try a different style and see off it works better for me. Ty LianLian Hair.<br /><br />Based on the other reviews of this unit I had extremely high hopes about how well it would perform. Sadly when I received my unit the 1st thing I noticed was the smell the smell the smell immediately hits you as you're opening the package it had a very ripe, Sour smell. The 2nd thing I noticed was my unit felt extremely thin considering this is supposed to be A220 density the 3rd thing is the color the color is much much darker than shown in the photos and in the photos and even other reviews.<br /> I really really wanted this unit to work because it matches my natural hair color almost perfectly, and would have allowed me to protect my natural hair as it grows out.<br />Sadly, I will be sending this back.",5.0,2,4,en
THIS IS A SCAM — DONT WASTE YOYR MONEY! This is nothing more than a gel top coat and metallic polisg. It does not create the mirror effect. Stick to the Chrome pigment powders. This vendor is a con,1.0,0,0,en
Five Stars — Easily glides on and stays on,5.0,2,4,en
"Love it! — Beautiful color - especially in string light. Goes on easily, dries fast; also comes off easily.",5.0,2,4,en
"Perfect storage for my everyday makeup — I had my eye on these kinds of acrylic makeup organizers for a long time, and I'm so glad I finally got one. I am someone who owns a LOT of makeup. So much it can be overwhelming. This is an easy, clean, elegant, lovely way to collate and display the products I use on a daily basis, to help me speed up my routine when I'm getting ready in a hurry. Four drawers + the organizing grid on top helps me to keep my daily foundation, powder, bronzer and blush easily accessible.On top I stash mascara, lip products and my sponges. Basically this now houses my 5 minute face. Great for anyone with minimal storage and maximum makeup!<br /><br />I was given a discount to purchase but it is my first time ever doing that and I don't plan on doing it often.",5.0,2,4,en
Weightless! — Love it! It's very light and adds sheen to your hair. Great doe African american hair.,5.0,2,4,en
Product doesn’t work! — Product doesn’t work and instructions are completely written in another language.,1.0,0,0,en
"Great Deal — Good product for the price! Very easy to take in and out and a very nice variety of colors. I'm actually fairly surprised by the fact that these are just as good of a quality as the ones I get from my local piercing store...and those are $20-40 EACH! Great deal, would certainly recommend. They are a little smaller than you may want though, but they still fit okay.",5.0,2,4,en
Best fragrance for anyone. — One of my favorites! So happy to have it back in my boudoir!!,5.0,2,4,en
"Save your money - you won't use it — I was a new nursing student and wanted to get organized and thought I just *had* to get this. Save your money. In reality, you will absolutely never use it and if you do - it'll be more of a nuisance than anything. Nice concept, but definitely would waste your time.",2.0,0,1,en
"Overall great brush — The brush arrived and had some loose bristles floating around in the package, so I thought shedding might be a problem for this brush. It actually hasn't shed at all, and has been a great body brush - I've been using it for the past couple of weeks before jumping in the shower, and my skin feels incredibly smooth. Not sure how to measure if I have better circulation or not, but overall, i like using the brush. Only downside is that the hand-strap is a bit loose.",4.0,2,3,en
Love this pack! — These lashes are gorgeous and you get so many! Very fluffy with a comfortable band and you get three different styles!,5.0,2,4,en
Love the colors — Mixed and match to my scrubs,5.0,2,4,en
"Love these headwraps! — I bought these to replace headwraps I had that were getting very old. These are great! I have an extra big head and the elastic never fits on any headband, so I had to cut the elastic and restitch to my head size (I just hold them on with snap clips) but this is in no reflection of the product. I just have an enormous noggin, so I can't report if they would fit on a normal person sized head. They are super comfy and very pleasant. I am very happy with my purchase, and with getting three! woohoo!",5.0,2,4,en
Took me a minute but I like it now! — I like this brush. Wasn’t as happy with it first but I realized that I was being to heavy handed with it. A very little pressure need to get the smooth look.,5.0,2,4,en
It is nice that they stick to your face so well — It is nice that they stick to your face so well. You can walk around the house with them on. But beware. I broke out in a rash after using the first one. I guess I was allergic to one of the ingredients.,3.0,1,2,en
"Wish color was more brown — I thought this would be a bit more brown, rather than orangy. I will continue to use it, but not as much as if it had been more brown. Hard to tell colors on the internet.",3.0,1,2,en
"1of 3 doesn’t work — These do not lock, so would be terrible for travel. Also one of the sprayer tops does not even work.",1.0,0,0,en
"Perfect Mach III Razor — I wanted a precisely weighted and balanced razor, and I found this one to be perfect. It is easy to grip, exactly the right weight distribution, and glides easily. Other razors that I have had before this have been well-designed too in general, but they are either a little too light (usually), or too heavy, or unevenly distributed. I cannot find fault with this one.",5.0,2,4,en
Tangle Mess — The hair was tangled & stiff the moment I opened it. The bundles were also very thin . I would not recommend.,1.0,0,0,en
"Drying, not worth it. — Not worth it but fun to try. They felt like jello but the mask ripped the second I picked it up. SMell good and felt good on but didn't end well... Used one tonight and after my skin actually felt dry and tight. I have combo skin and don't have dry skin at all. I'm all about finding a face mask with these ingredients. This didn't do anything. Oh well.",1.0,0,0,en
"As some other reviews have stated, the numbers stamped ... — As some other reviews have stated, the numbers stamped into the tools are insufficiently polished. Other than that the polishing is very well done.",3.0,1,2,en
Two Stars — This product is very old. The tube is actually discolored.,2.0,0,1,en
"Great Product, Recommended — I definitely recommend these. I use them when creating press on and they work very well. If you struggle trying to do press ons, I highly recommend using these.",5.0,2,4,en
Really works — This has been great for my skin. Used all through the summer and maintained my tan until the fall.,5.0,2,4,en
"Great and Affordable! - Updated : Worse — I love this flosser. This product is lightweight, easy to fill and use. My teeth feel so much cleaner and It works much better than anything I trying in the past. It's really helpful for me to clean my teeth. I love using it in the morning and nighttime with a little bit of warm water after brushing my teeth. I’m definitely getting another one for my kids. Highly recommend this durable and functional water flosser.<br /><br />Updated : The Floss doesnt even charge, the first use was good. but it has a charger along with it, but it doesnt even charge, might be because the insulation to charging area is bad with water sweeping in",1.0,0,0,en
I love it — Juicy sheet masks,5.0,2,4,en
"Works as advertised — Very cool spray bottle. I was tired of my wife wasting money burning through cheap throw away bottles from Target, Walmart or the Dollar Store.<br />Came across the extended spray bottles by accident and decided to go with this one, I believe based on other reviews.<br />Works as advertised and is really quite magical. It just keeps spraying, kind of like a 3 to 1 ratio, one trigger pull gets you about three sprays worth of water. Really cool.<br />Just recently, my 10 year old got the bright idea, she wanted cold water spritz on a hot day at practice, and decided to put this bottle - full of water - in the freezer. It was fully frozen, bottom pushed out due to ice expansion, and I left it out to thaw fully expecting to order another figuring it was wrecked. To my surprise, once thawed out, pushed the bottle back to shape, and continues to work flawlessly.<br />So, unexpectedly durable, takes a good freezing, totally against the directions I’m sure.",5.0,2,4,en
"Wonderful product. — This is a very good product for in between shampooing. Adds body to the hair, does a good job of feeling fresh n clean. I am not fond of the scent, but it does the job.",5.0,2,4,en
"Easy, Fast, and sooo nice! — I will never use eyelash glue AGAIN! This is definitely a game changer. Very easy to use, and they actually stay on!!! Everyone was suprised when I told them it was magnetic. If your tired of using glue, pleaseeee purchase these!",5.0,2,4,en
"It's hands down the very best conditioner I've used on my hair ever — It's hands down the very best conditioner I've used on my hair ever. It honestly gives it great volume and leaves it super soft. I highly recommend it, especially for anyone on chemo, a biologic or a monoclonal antibody like me. Instead of having my hair dry out and fall out, it has never looked better.",5.0,2,4,en
its half it size but works. — it became smaller after wetting it,3.0,1,2,en
They are just “Ok” — Not great but not horrible.<br /><br />The pads are very thin and only mildly soft. Overall they are decent and should work for face cleaning,3.0,1,2,en
"Overall a great trimmer with 1 exception — I've been using a Norelco beard trimmer for years. I bought the first T100 which used 2 AA batteries. I've seen the improvements over the years and they have definitely added to how well the products functioned. Right off the bat I'll tell you my exception. This beard trimmer was made in China. That might not matter at all to some and you are entitled to your opinion. But it matters to me and I was slightly disappointed to see that they are not being made in Austria anymore.<br /><br />Other than that, I am impressed with this trimmer. The turbo vacuum system works great. I have not had to clean my bathroom sink even once. The self-sharpening blades no longer need to be lubricated with oil. Ever though this unit is slightly bigger than my last one (T990)it is not more awkward in my hands. Even the Accu Control System's flexing guide comb is easier to clean than the last one.<br /><br />I do have to recharge the battery after 2 or 3 uses but it does have a quick charge feature that takes about 1 hour. So I can't really complain about that.<br /><br />I have not noticed any problems with actually trimming my beard. The 9 lockable length settings have not slipped for me as others have reported (I am currently using a number 4). I have not had any problems with trimming under my nose but I have been used to using a Norelco.<br",4.0,2,3,en
Endura Bod Remover — I ordered this remover with the Endura Bond product. I have had the opportunity to use it and it works perfectly. I like the fact that it allows me to remove the bond holding my lace front without subjecting me with any pain. The product arrived on time and it was packaged well. I would recommend this product to my friends. It is a great product.,5.0,2,4,en
Best mascara ever!!! — This is the best. Conditions and helps grow beautiful fluttery lashes. No clumping.,5.0,2,4,en
Excellent shave. — I've owned norelcos in the past. This is the best of them. It has a closeness adjuster which really works. It provides a very comfortable shave and the cleanup is easy. What more could you want to accomplish a necessary but not always pleasant chore.,5.0,2,4,en
Excellent — Worked as described. Used it to pour hand sanitizer liquid for my flight,5.0,2,4,en
"Great design. Ear loops too short. — Bought these to follow the “face coverings required” mandate. Great idea, but they went so cheap on how much elastic the use for the ear-loops, that for an adult ... unless you have a tiny face, they’re unusable as they pull your ears down &lt;rolls eyes>. Fortunately I had a roll of elasticized string (used for making bracelets) and replaced what was given. WHY the mfg can’t use and extra inch to inch-and-a-half of elastic is beyond me, but I got them to work.",2.0,0,1,en
"Quick, easy and durable! — I absolutely love these duals! Beautiful C curve is achieved with no problem. Quick, easy and very durable. Just put your acrylic into the inside of the form and apply to nail, let dry and gently remove form with the two little pieces on each side!",5.0,2,4,en
"Useful for travel oversea, great customer service — Work as described. Bought mainly because of the USB port. With the proper power adapter, it can be used for international travel. The strength of water stream is not as strong as the Waterpik regular AC power product. The stabilizer in the water tank drains the water but make noticeable noise.<br /><br />Re-edited: 10/14/2020<br />After around 10 months of usage, twice a day, the battery stopped charging. I contacted the seller to claim their one year warranty. In just three days, I have received a new replacement. Change to five stars for outstanding customer service.",5.0,2,4,en
It works great. These bottles will last me for months — A little goes along way. It works great. These bottles will last me for months.,5.0,2,4,en
"Very cute. — Little difficult to weave through your hair properly without showing the parts that you don't want to see and you have to bend the rest to sit right within your hair. Overall, really good product, just a lot of work to get it in your hair and properly bent to look just right.",5.0,2,4,en
The smell was off and nothing like it should smell — This product came already opened with a bunch of the oil leaked out and all over the box and all over my other products! The smell was off and nothing like it should smell! I’m very disappointed in this product! DO NOT BUY IT!,1.0,0,0,en
It's working!! — It burns just a bit after applying and then I feel nothing. My lashes seem to be growing back in and are visible again.,4.0,2,3,en
"Keeps ya clean — Everything is almost perfect about this especially its texture. Hairs DO NOT stick to this cape.<br /><br />Only thing it can use is some comfort where you attach it around the neck. Easy fix is to put a small rag, towel, or even paper towels around ones neck then attach the cape.<br /><br />I like it a lot and my pops loves the haircuts I give him ; )",4.0,2,3,en
"Just beautiful and it fits fine. — Gorgeous in my hair! Well made, I will keep it in it's box wrapped until I get to wear it on my wedding day. It will go great with my dress! It ships fast!",5.0,2,4,en
Super easy — As soon as I received them I opened them up and applied them. They were super easy to put on. Very lightweight and stay put until I’m ready to remove them. I like that they are washable and I get many uses out of them. They arrived quickly and were nicely packaged.,5.0,2,4,en
It’s one of my face cream. It’s expensive but it makes my skin flawless. — It’s something new to me I’m trying it and so far I like it,5.0,2,4,en
Don't think these are authentic — I think these are fake. They don't feel like M.A.C quality.,1.0,0,0,en
Cheap and works great — Perfect for the price!,5.0,2,4,en
"Feel good in the hand — Sometimes you buy something for nostalgia as much as utility. Mom had a nice pair of scissors all metal, good heft, and now I do. Super smooth action, so smooth I thought they were broken, but no just that well adjusted. Feel natural in the hand, stopper at the end of the throw is a nice touch. Think ill look for a full size pair of scissors from the same company.",5.0,2,4,en
Awesome blush — Nicely pigmented blends well removed easily great colors for light to deeper complexions. Easy to use little fall out can be used for contour!,4.0,2,3,en
Excellent product! — This product is true to their claim this works on your hair so much that you need not to use a straightening spray on your hair .. only a blow dryer!,5.0,2,4,en
Cute but — Very cute. But one looks like it was either worn or tried on. All came in package besides two. One had a hair in it. But the clips are very cute and a good price,3.0,1,2,en
"Absorbs Quickly — Received a sample of this right as my pure argan oil ran out. Absorbs into the skin even more quickly than the argan oil, and leaves my skin very soft. I can see the small bumps on my legs and arms starting to disappear too! With the winter dryness I feel like I need something over this oil for extra moisture, but I could see myself grabbing this often in the summer.",4.0,2,3,en
Three Stars — Didn't work as I expected it too,3.0,1,2,en
Not great — Sticky and doesn’t dry,1.0,0,0,en
Disappointed in can quality — I ordered 6 of the vaseline unscented spray. So far one of the cans doesn’t spray. I will review again when I use the rest.,5.0,2,4,en
Beautiful - as pictured — As pictured and well-made.,5.0,2,4,en
